FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
R90039,2015070901,2015,Lightning,2015-R90039,753.6,2015 ROLLOVER,20150709,20150721155107,20150517,OZIX,JA70003000,,1845133,7536573.8665,11626.0435,,
R90045,2015070301,2015,Lightning,2015-R90045,14217.5,2015 ROLLOVER,20150704030247,20150703200610,20150521,OZIX,JA70003000,,1845134,142175617.429,100864.186,,
R90046,2015070901,2015,Lightning,2015-R90046,8745.6,2015 ROLLOVER,20150709,20150721162807,20150522,OZIX,JA70003000,,1845135,87456396.3838,56164.582800000004,,
R90047,2015110401,2015,Lightning,2015-R90047,3984,2015 ROLLOVER,20151104115043,20151104115043,20150522,Ozi,JA70003000,,1845136,39840051.2895,43599.5001,,
R90051,2015110301,2015,Lightning,2015-R90051,9.4,2015 ROLLOVER,20150608204847,20151103155216,20150520,Ozi,JA70003000,,1845137,94203.8514,1985.4019,,
G90240,2015072901,2015,Lightning,2015-G90240,7.1000000000000005,2015 ROLLOVER,20150729,20150729180002,20150623,OZIX,JA70003000,,1844896,71210.4098,1037.0346,,
G90243,2015070201,2015,Lightning,2015-G90243,207,2015 ROLLOVER,20150702,20150704123603,20150623,OZIX,JA70003000,,1844897,2070121.5863,10279.8768,,
G90245,2015070401,2015,Lightning,2015-G90245,4175.6,2015 ROLLOVER,20150704,20150706184353,20150623,OZIX,JA70003000,,1844898,41756735.954,39850.9306,,
G90248,2015072901,2015,Lightning,2015-G90248,22.5,2015 ROLLOVER,20150729,20150729172038,20150623,OZIX,JA70003000,,1844899,225305.0296,2510.4163000000003,,
G90250,2015092101,2015,Lightning,2015-G90250,1.1,2015 ROLLOVER,20150921142310,20150921142310,20150624,Ozi,JA70003000,,1844900,11767.5713,524.5579,,
G90253,2015062501,2015,Person,2015-G90253,1.1,2015 ROLLOVER,20150626185338,20150626185338,20150624,OZIX,JA70003000,,1844901,11575.7661,572.2555,,
G90254,2015070401,2015,Lightning,2015-G90254,5.5,2015 ROLLOVER,20150704,20150705175505,20150624,OZIX,JA70003000,,1844902,55025.8258,1049.0569,,
